Location,Soil moist,Slope,1day rain in,3day rain in,5day rain in,1day cumu,3day cumu,5 day cumu,soil type
"CALABARZON,Cavite, Amadeo, Salaban",5.3,3,0.012166667,0.039194444,0.023525,0.292,2.822,2.823,2
"CALABARZON, Laguna, Pakil, Casa Real",6,5,0.045208333,0.03175,0.019341667,1.085,2.286,2.321,5
"CALABARZON, Laguna, Pangil, Dambo ",6.4,5,0.144083333,0.079527778,0.058066667,3.458,5.726,6.968,5
"CALABARZON, Laguna, Sta. Maria, Sitio Sulat, Brgy. Parang ng Buho ",6.4,5,0.193208333,0.103263889,0.073425,4.637,7.435,8.811,5
"CALABARZON,Batangas, Batangas City, Tabangao Aplaya ",5.1,4,0.032,0.026055556,0.016633333,0.768,1.876,1.996,2
"CALABARZON,Rizal, Antipolo City, Mambugan ",6.1,4,0.096625,0.046902778,0.032725,2.319,3.377,3.927,3
"CALABARZON,Rizal, Antipolo City, Mayamot ",6,5,0.094291667,0.045125,0.031325,2.263,3.249,3.759,3
"CALABARZON,Quezon, Guinayangan ,Brgy Manggagawa ",6.3,5,0.237625,0.123305556,0.080775,5.703,8.878,9.693,2
"CALABARZON,Quezon, Mauban, Cagsiay III",6,5,0.056875,0.055888889,0.036258333,1.365,4.024,4.351,5
"CALABARZON,Quezon, San Narciso, Brgy. Abuyon",5.4,5,0.253083333,0.128541667,0.083475,6.074,9.255,10.017,2
"MIMAROPA,ORIENTAL MINDORO, Socorro , Mabuhay I ",4.8,5,0.029541667,0.013375,0.0099,0.709,0.963,1.188,3
"REGION 5, CAMARINES NORTE, Jose Panganiban ",6.6,,0.354291667,0.162902778,0.101216667,8.503,11.729,12.146,
"REGION 9,ZAMBOANGA DEL SUR ,Zamboanga City,Purok 5, Bato Lampoon, Brgy. Labuan",5.8,5,0.001,0.031666667,0.02245,0.024,2.28,2.694,3
"REGION 2, ISABELA,Ilagan City,bangag",6.2,2,0.001666667,0.024805556,0.01515,0.04,1.786,1.818,3
"REGION 2, NUEVA VIZCAYA, Ambaguio , Labang",5.5,5,0.000166667,0.036263889,0.025041667,0.004,2.611,3.005,2
"CAR,IFUGAO, Mayoyao, Maga",5.3,3,0.002,0.004319444,0.00815,0.048,0.311,0.978,2
"CAR,IFUGAO, Asipulo, Cawayan",5.7,4,0.000333333,0.036319444,0.025075,0.008,2.615,3.009,3
"CAR,IFUGAO, KALINGA, Balbalan, Balantoy",5.8,4,0.090583333,0.030638889,0.045133333,2.174,2.206,5.416,2
"CAR,IFUGAO, MOUNTAIN PROVINCE, Bontoc, Balili",5.6,6,0.00625,0.006541667,0.010641667,0.15,0.471,1.277,3
"CALABARZON, QUEZON, Mauban, Brgy. Cagsiay I",0.9,4,0.063416667,0.069013889,0.044683333,1.522,4.969,5.362,5
"CALABARZON, QUEZON, Burdeos , Brgy. Poblacion",6,4,0.057291667,0.057208333,0.052891667,1.375,4.119,6.347,2
"CALABARZON, RIZAL, Purok 4, Sapang Bato, Brgy. Ithan",0.7,,0.047875,0.019916667,0.013275,1.149,1.434,1.593,
"MIMAROPA, ORIENTAL MINDORO, Bongabong , Morente",5.4,1,0.001291667,0.005625,0.003408333,0.031,0.405,0.409,2
"MIMAROPA, MARINDUQUE, Mogpog, Balanacan",0,5,0.051875,0.025847222,0.021366667,1.245,1.861,2.564,2
"REGION 5, CAMARINES NORTE, Jose Panganiban, Nakalaya (Purok 1) ",6.3,4,0.085583333,0.045125,0.028858333,2.054,3.249,3.463,2
"REGION 5, CAMARINES NORTE, Jose Panganiban, Sta. Milagrosa (Purok 4)",6.3,4,0.085,0.045763889,0.029191667,2.04,3.295,3.503,2
"REGION 5, CAMARINES NORTE, Jose Panganiban, Sta. Rosa Norte (Purol 4 and Purol 6)",6.3,4,0.086,0.044763889,0.028683333,2.064,3.223,3.442,2
"REGION 5, CAMARINES NORTE, Jose Panganiban, Luklukan Norte (Purok 3 - Creek)",6.3,5,0.085916667,0.044958333,0.028783333,2.062,3.237,3.454,2
"REGION 5, CAMARINES SUR, Baao, Cristo Rey",5.4,4,0.060666667,0.02775,0.026391667,1.456,1.998,3.167,5
"REGION 5, CAMARINES SUR, Buhi, Iraya (Sitio Malitbog)",5.7,5,0.034166667,0.070319444,0.043516667,0.82,5.063,5.222,2
"REGION 5, CAMARINES SUR, Garchitorena, Del Pilar ",6.3,4,0.033125,0.035458333,0.05295,0.795,2.553,6.354,3
"REGION 5, CAMARINES SUR, Lagonoy, Agosais",6.3,5,0.022458333,0.050652778,0.04605,0.539,3.647,5.526,3
"REGION 5, CAMARINES SUR, Lagonoy, San Sebastian ",6.3,5,0.023375,0.047013889,0.043783333,0.561,3.385,5.254,3
"REGION 5, CAMARINES SUR, Presentacion, Bagong Sirang (Zone 3)",6.2,,0.011333333,0.028513889,0.052141667,0.272,2.053,6.257,
"REGION 5, CAMARINES SUR, Presentacion, Liwacsa",6.5,5,0.105625,0.064652778,0.047625,2.535,4.655,5.715,3
"REGION 5, CAMARINES SUR, Presentacion, Pagsangaan",6.3,5,0.032791667,0.035263889,0.052816667,0.787,2.539,6.338,3
"REGION 5, CAMARINES SUR, Presentacion, Sta. Maria",6.4,5,0.038291667,0.037583333,0.024733333,0.919,2.706,2.968,3
"REGION 5, CAMARINES SUR, Sitio Sta. Cruz Brgy. Patitinan",5.6,6,0.006416667,0.076972222,0.050925,0.154,5.542,6.111,2
"REGION 5, CAMARINES SUR, Tinambac, Pantat (Sitio Dancalan)",6.3,3,0.016375,0.088152778,0.071341667,0.393,6.347,8.561,3
"REGION 5, CATANDUANES, Gigmoto, Sicmil",2.6,5,0.129541667,0.047069444,0.03705,3.109,3.389,4.446,3
"REGION 5, MASBATE, Palanas, Antonio Maravilla",0.2,2,0.001666667,0.021444444,0.032716667,0.04,1.544,3.926,2
"REGION 5, SORSOGON, Barcelona, San Isidro",1.7,1,0.096375,0.037486111,0.027158333,2.313,2.699,3.259,3
"REGION 5, SORSOGON, Casiguran, San Pascual (Sitio Kamandag)",2.6,3,0.087166667,0.034388889,0.025716667,2.092,2.476,3.086,3
"REGION 5, SORSOGON, Casiguran, Central",6.5,1,0.002791667,0.025513889,0.031625,0.067,1.837,3.795,3
"REGION 5, SORSOGON, Casiguran, Burgos",2.8,4,0.134583333,0.053055556,0.058233333,3.23,3.82,6.988,3
"REGION 5, SORSOGON, Juban, Biriran (Sitio Cabungahan)",2.8,1,0.003,0.027041667,0.030583333,0.072,1.947,3.67,3
"REGION 5, SORSOGON, Juban, Caruhayon",6.5,4,0.002875,0.026027778,0.032475,0.069,1.874,3.897,3
"REGION 5, SORSOGON, Magallanes, Busay",6.2,1,0.004708333,0.018416667,0.016125,0.113,1.326,1.935,3
"REGION 5, SORSOGON, Matnog, Manjumlad",0,1,0.048,0.029652778,0.019433333,1.152,2.135,2.332,3
"REGION 5, SORSOGON, Sorsogon City, Panlayaan",2.8,5,0.000125,0.002861111,0.004233333,0.003,0.206,0.508,3
"REGION 6, ILOILO, Dingle, Ginalinan Nuevo",6.1,1,0.011458333,0.013944444,0.014258333,0.275,1.004,1.711,5
"REGION 6, NEGROS OCCIDENTAL, Talisay, Brgy. San Fernando",5.9,6,0.10025,0.07025,0.045633333,2.406,5.058,5.476,3
"REGION 6, NEGROS OCCIDENTAL, Enrique B. Magalona (Saravia), Brgy. Canlusong",6.8,5,0.04025,0.115861111,0.087125,0.966,8.342,10.455,5
"REGION 7, BOHOL, Candijay, Canawa",5.5,4,0.015291667,0.013527778,0.013208333,0.367,0.974,1.585,3
"REGION 7, BOHOL, Candijay, Cambane",5.5,5,0.01625,0.014291667,0.013675,0.39,1.029,1.641,2
"REGION 8, NORTHERN SAMAR, Catarman, Cal-igang",7.3,4,0.309458333,0.107472222,0.06915,7.427,7.738,8.298,3
"REGION 8, EASTERN SAMAR, Borongan, Siha",5.3,4,0.193125,0.187458333,0.155508333,4.635,13.497,18.661,2
"REGION 10, BUKIDNON, Talakag, Sitio Kaulayanan, Brgy. Basac",6.4,3,0.000333333,0.023722222,0.019683333,0.008,1.708,2.362,5
"REGION 11, DAVAO DE ORO, Monkayo, Upper Ulip",5.5,5,0.013083333,0.013222222,0.038766667,0.314,0.952,4.652,3
"REGION 11, DAVAO DE ORO, Monkayo, Upper Ulip",5.4,5,0.178791667,0.093388889,0.058825,4.291,6.724,7.059,3
"REGION 11, DAVAO DE ORO, Maco, Mainit",6,6,0.021333333,0.007222222,0.004333333,0.512,0.52,0.52,3
"REGION 11, DAVAO DE ORO, Maco, Panoraon",6.3,6,0.007833333,0.010263889,0.007475,0.188,0.739,0.897,3
"REGION 11, DAVAO DE ORO, Maco, Teresa",6.5,6,0.044291667,0.015375,0.009225,1.063,1.107,1.107,3
"REGION 11, DAVAO DE ORO, Maco, Gubatan",6.5,6,0.038416667,0.027625,0.016908333,0.922,1.989,2.029,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), Tandik",6.5,6,0.038416667,0.027625,0.016908333,0.922,1.989,2.029,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), New Manay",6.5,5,0.038416667,0.027625,0.016908333,0.922,1.989,2.029,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), Talian",6.5,6,0.038416667,0.027625,0.016908333,0.922,1.989,2.029,3
"REGION 11, DAVAO DE ORO, Mawab, Poblacion",6.5,1,0.044291667,0.015375,0.009225,1.063,1.107,1.107,3
"REGION 11, DAVAO DE ORO, Mawab, Sawangan",6.3,4,0.000666667,0.014541667,0.017616667,0.016,1.047,2.114,3
"REGION 11, DAVAO DE ORO, New Bataan, Magangit",6.5,1,0.038416667,0.027625,0.016908333,0.922,1.989,2.029,3
"REGION 12, SARANGANI, Maitum, Upo",5.5,6,0.043375,0.029555556,0.028916667,1.041,2.128,3.47,2
"REGION 2, BATANES, Basco, Chanarian",0,4,0.052166667,0.022861111,0.024866667,1.252,1.646,2.984,
"REGION 2, CAGAYAN, Lal-lo, Bicud",5.1,4,0.11875,0.045194444,0.028175,2.85,3.254,3.381,3
"REGION 11, DAVAO DE ORO, Compostela, Panansalan",5.1,5,0.09925,0.046111111,0.030608333,2.382,3.32,3.673,3
"REGION 11, DAVAO DE ORO, Compostela, Ngan",5.1,1,0.09925,0.046111111,0.030608333,2.382,3.32,3.673,3
"REGION 11, DAVAO DE ORO, Laak (San Vicente), El Katipunan",5.6,4,0.015333333,0.010875,0.007491667,0.368,0.783,0.899,3
"REGION 11, DAVAO DE ORO, Laak (San Vicente), New Bethlehem",5.1,4,0.0085,0.004055556,0.002866667,0.204,0.292,0.344,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Sabud",5.1,4,0.0085,0.004055556,0.002866667,0.204,0.292,0.344,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Sta. Emilia",5.3,4,0.022958333,0.011375,0.007291667,0.551,0.819,0.875,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Kidawa",5.3,4,0.015083333,0.0095,0.006433333,0.362,0.684,0.772,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Buhi Ampawid",4.8,4,0.006875,0.012777778,0.008666667,0.165,0.92,1.04,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Sto. Nino",5.1,3,0.016375,0.035875,0.021525,0.393,2.583,2.583,2
"REGION 11, DAVAO DE ORO, Laak (San Vicente), Kaligutan",5.2,3,0.147458333,0.068069444,0.051016667,3.539,4.901,6.122,3
"REGION 11, DAVAO DE ORO, Maragusan, Tandik, Purok Bagong Silang",6.3,6,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO DE ORO, Maragusan,Lahi, Purok Macopa Lanzones",6.2,6,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO DE ORO, Maragusan, Mabugnao",6.3,6,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO DE ORO, Maragusan, Langgawisan",6.2,6,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO DE ORO, Monkayo, Mt. Diwata",5.6,6,0.09925,0.046111111,0.030608333,2.382,3.32,3.673,3
"REGION 11, DAVAO DE ORO, Monkayo, P-22, 2000, Mt. Diwata",5.8,6,0.09125,0.119722222,0.07965,2.19,8.62,9.558,3
"REGION 11, DAVAO DE ORO, Monkayo, P-20, Pagasa, Mt. Diwata",5.8,6,0.09125,0.119722222,0.07965,2.19,8.62,9.558,3
"REGION 11, DAVAO DE ORO, Monkayo, Banlag, P. Waling Waling and Sitio Moria",5.3,4,0.015083333,0.009555556,0.006466667,0.362,0.688,0.776,3
"REGION 11, DAVAO DE ORO, Monkayo, P-1, Banlag",5.3,4,0.015083333,0.009555556,0.006466667,0.362,0.688,0.776,3
"REGION 11, DAVAO DE ORO, Monkayo, Rizal",5.6,5,0.015333333,0.010875,0.007491667,0.368,0.783,0.899,3
"REGION 11, DAVAO DE ORO, Montevista, Tapia",5.1,5,0.010916667,0.005194444,0.003716667,0.262,0.374,0.446,3
"REGION 11, DAVAO DE ORO, Montevista, Camantangan",5.3,4,0.050875,0.016958333,0.010175,1.221,1.221,1.221,3
"REGION 11, DAVAO DE ORO, Montevista, New Cebulan",5.3,5,0.050875,0.016958333,0.010175,1.221,1.221,1.221,3
"REGION 11, DAVAO DE ORO, Montevista, New Cebulan",6,5,0.147458333,0.068069444,0.051016667,3.539,4.901,6.122,3
"REGION 11, DAVAO DE ORO, Montevista, Bangkeruhan Sur",5.9,1,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO ORIENTAL, Caraga, Don Leon Balante",5.6,4,0.111708333,0.050861111,0.03185,2.681,3.662,3.822,3
"REGION 11, DAVAO ORIENTAL, Caraga, Lamiawan",6.5,6,0.075375,0.103888889,0.0664,1.809,7.48,7.968,3
"REGION 11, DAVAO ORIENTAL, Caraga, Manorigao",5.5,4,0.014166667,0.008444444,0.0055,0.34,0.608,0.66,3
"REGION 11, DAVAO DEL SUR, Malalag, Bolton, ",4.6,2,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 2, NUEVA VIZCAYA, Bambang, Magsasay Hills",6,3,0.022958333,0.010597222,0.009966667,0.551,0.763,1.196,3
"REGION 2, NUEVA VIZCAYA, Ambaguio, Poblacion",6,6,0.082,0.029055556,0.023933333,1.968,2.092,2.872,3
"REGION 2, NUEVA VIZCAYA, Kayapa, Mapayao",6,5,0.098708333,0.034541667,0.0277,2.369,2.487,3.324,3
"CALABARZON, RIZAL, Binangonan, Calumpang",6,1,0.023708333,0.027111111,0.016916667,0.569,1.952,2.03,5
"REGION 1, LA UNION, Rosario, Purok 1 Cataguintingan",6.2,4,0.045583333,0.021208333,0.015016667,1.094,1.527,1.802,3
"REGION 3, ZAMBALES, Subic, Cawag",6.4,4,0.086,0.046833333,0.029875,2.064,3.372,3.585,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. Calimag",5.5,4,0.007916667,0.010375,0.038925,0.19,0.747,4.671,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. Olaes",5.3,3,0.041708333,0.019569444,0.029883333,1.001,1.409,3.586,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. F Reyes",5.3,2,0.044291667,0.020930556,0.031908333,1.063,1.507,3.829,2
"CALABARZON, RIZAL, Antipolo, Cupang",6.2,4,0.02825,0.014291667,0.031191667,0.678,1.029,3.743,3
"CALABARZON, RIZAL, Antipolo, Mayamot",6.1,2,0.024125,0.011736111,0.030408333,0.579,0.845,3.649,3
"CALABARZON, RIZAL, Antipolo, San Jose",5.8,4,0.037,0.020458333,0.033158333,0.888,1.473,3.979,3
"REGION 5, CAMARINES SUR, Buhi, 1",5.8,,0.0115,0.112083333,0.0683,0.276,8.07,8.196,
"REGION 6, AKLAN, Nabas, Gibon",6.4,1,0.017625,0.044125,0.032583333,0.423,3.177,3.91,3
"REGION 1, ILOCOS SUR, Salcedo (Baugen), Kaliwasiw",3.4,4,0.021666667,0.014430556,0.010883333,0.52,1.039,1.306,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 1, Balbalayang",5.8,1,0.07975,0.041347222,0.028658333,1.914,2.977,3.439,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 3, Balbalayang",6.5,1,0.427125,0.171694444,0.1127,10.251,12.362,13.524,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 6, Balbalayang",6.5,1,0.427125,0.171694444,0.1127,10.251,12.362,13.524,3
"REGION 1, ILOCOS SUR, Sugpon, Pangotan",5.8,6,0.07975,0.041347222,0.028658333,1.914,2.977,3.439,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maharlika Creekside)",0.8,1,0.125833333,0.051972222,0.038966667,3.02,3.742,4.676,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maniano Sitio Gulod)",0.8,1,0.161833333,0.103069444,0.070908333,3.884,7.421,8.509,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maharlika)",0,1,0,0,0,0,0,0,3
"CALABARZON, RIZAL, Taytay, Brgy. San Isidro (Lower Manggahan)",0.8,1,0.1545,0.098361111,0.066525,3.708,7.082,7.983,3
"CALABARZON, RIZAL, Antipolo, Sitio Bautista, Brgy. San Jose",0.8,4,0.164583333,0.106097222,0.071133333,3.95,7.639,8.536,3
"CALABARZON, RIZAL, Antipolo, San Roque (Eastview 4 Subdivision, Sitio Ahon)",0.8,2,0.164833333,0.106416667,0.071825,3.956,7.662,8.619,3
"CALABARZON, RIZAL, Antipolo, San Jose (Sitio Buhanginan)",0.8,4,0.293416667,0.214069444,0.13655,7.042,15.413,16.386,3
"CALABARZON, RIZAL, Antipolo, Brgy. Cupang (along Marcos Highway Kingsway, Hardrock)",6.6,4,0.144958333,0.092944444,0.061066667,3.479,6.692,7.328,3
"CALABARZON, RIZAL, Antipolo, Calawis (Purok 6)",6.6,5,0.1845,0.118722222,0.078133333,4.428,8.548,9.376,3
