Location,Soil moist,Slope,1day rain in,3day rain in,5day rain in,1day cumu,3day cumu,5 day cumu,soil type
"REGION 11, DAVAO DE ORO, Compostela, Ngan",5.5,1,0.177166667,0.071083333,0.051833333,4.252,5.118,6.22,3
"REGION 11, DAVAO DE ORO, Maco, Gubaan",5.8,6,0.001666667,0.003347222,0.006275,0.04,0.241,0.753,3
"REGION 12, COTABATO, Makilala, Buhay",5.8,6,0.000666667,0.000986111,0.004858333,0.016,0.071,0.583,3
"REGION 12, SARANGANI, Malapatan, Upper Suyan",4.5,5,0.001666667,0.002958333,0.004583333,0.04,0.213,0.55,2
"CARAGA, BUTUAN CITY, Butuan, De Oro",6.1,5,0.07875,0.040819444,0.062216667,1.89,2.939,7.466,3
"CARAGA, BUTUAN CITY, Butuan, Bugsukan",6.1,5,0.07875,0.040819444,0.062216667,1.89,2.939,7.466,3
"CALABARZON, LAGUNA, Alaminos, Sta. Rosa",5.9,5,0.06475,0.024194444,0.031166667,1.554,1.742,3.74,5
"CALABARZON, LAGUNA, Cavinti, Labayo",6.3,4,0.106583333,0.041055556,0.049791667,2.558,2.956,5.975,5
"CALABARZON, LAGUNA, Nagcarlan, Lawagin",6.3,5,0.082875,0.030472222,0.0388,1.989,2.194,4.656,2
"CALABARZON, LAGUNA, Pangil, Dambo",6.3,1,0.0965,0.036625,0.061725,2.316,2.637,7.407,5
"CALABARZON, LAGUNA, Rizal, Tala",6.2,4,0.096291667,0.036111111,0.0399,2.311,2.6,4.788,5
"MIMAROPA, PALAWAN, Culion, Malaking Patag",5,4,0.034791667,0.024069444,0.017575,0.835,1.733,2.109,3
"REGION 6, NEGROS OCCIDENTAL, Bago, Brgy. Ilijan, Purok Manokan",5.9,2,0.219666667,0.09,0.062958333,5.272,6.48,7.555,3
"REGION 7, CEBU, Cebu City, Sitio Hamtikto Sitio Bay-ang Barangay Babag",5.6,4,0.011333333,0.011916667,0.034616667,0.272,0.858,4.154,3
"REGION 7, CEBU, Cebu City, Sitio Candarong Pulangbato",5.1,5,0.010166667,0.011416667,0.034733333,0.244,0.822,4.168,2
"REGION 7, CEBU, Cebu City, Sitio Tawagan I, Brgy Sirao",4.4,4,0.016875,0.0545,0.036308333,0.405,3.924,4.357,2
"REGION 7, CEBU, Cebu City, Sitio Langub. Brgy Sirao",4.4,4,0.016875,0.0545,0.036308333,0.405,3.924,4.357,2
"REGION 7, CEBU, Cebu City, Sitio Naga Brgy. Pamutan",5.1,6,0.01725,0.053819444,0.036166667,0.414,3.875,4.34,3
"REGION 7, CEBU, Cebu City, Sitio Lower Camparang, Brgy Kalunasan",1,5,0.007208333,0.048458333,0.053991667,0.173,3.489,6.479,3
"REGION 7, CEBU, Cebu City, Sitio Cabulihan and Sitio Bangkal Brgy Guba",4.1,4,0.007208333,0.048875,0.054258333,0.173,3.519,6.511,2
"REGION 7, CEBU, Cebu City, Sitio Lower Lamakan, Brgy Pung-ol Sibugay",4.7,6,0.007208333,0.048875,0.054258333,0.173,3.519,6.511,3
"REGION 7, CEBU, Cebu City, Sitio Lupa, Brgy Sapangdaku",4.9,6,0.007208333,0.048333333,0.0539,0.173,3.48,6.468,2
"REGION 7, CEBU, Cebu City, Proper Sirao, Brgy Sirao",4.1,4,0.007208333,0.048875,0.054258333,0.173,3.519,6.511,3
"REGION 7, CEBU, Cebu City, Sitio Campo, Brgy Binaliw",4.3,5,0.139416667,0.052486111,0.054458333,3.346,3.779,6.535,2
"REGION 7, CEBU, Cebu City, Sitio Lower, Brgy Agsungot",4.3,4,0.139416667,0.052486111,0.054458333,3.346,3.779,6.535,2
"REGION 7, CEBU, Cebu City, Sitio Masaba, brgy Tagbao",4.8,4,0,0.041555556,0.027525,0,2.992,3.303,3
"REGION 7, CEBU, Cebu City, Proper Pamutan, Brgy Pamutan",4.8,6,4.17E-05,0.041513889,0.026716667,0.001,2.989,3.206,3
"REGION 7, CEBU, Cebu City, Sitio Langub Brgy Buhisan",4.8,5,4.17E-05,0.041513889,0.026716667,0.001,2.989,3.206,2
"REGION 8, SOUTHERN LEYTE, San Ricardo, Esperanza",6.2,6,0.061875,0.058861111,0.043658333,1.485,4.238,5.239,2
"REGION 9, ZAMBOANGA DEL NORTE, Siayan, Brgy. Dumpilas",5.9,4,0.014125,0.032458333,0.054258333,0.339,2.337,6.511,3
"CARAGA, SURIGAO DEL NORTE, Malimono, Hanagdong",5.7,6,0.080666667,0.045875,0.034541667,1.936,3.303,4.145,3
"BARMM, MAGUINDANAO, South Upi, Romongaob",4.6,4,0.003291667,0.007930556,0.010008333,0.079,0.571,1.201,2
"REGION 2, CAGAYAN, Pamplona, Brgy. Centro, Sitio Alitottong",6.8,1,0.16175,0.134069444,0.1231,3.882,9.653,14.772,3
"REGION 1, LA UNION,San Fernando,  Brgy. Pao Norte",5.6,5,0.128041667,0.053708333,0.034725,3.073,3.867,4.167,3
"REGION 1, LA UNION,San Fernando,  Brgy. Cabarsican",5.6,5,0.128125,0.053736111,0.03475,3.075,3.869,4.17,3
"REGION 1, LA UNION, Bagulin, Brgy. Alibangsay",5.6,6,0.131208333,0.055541667,0.035975,3.149,3.999,4.317,2
"REGION 1, LA UNION, Sudipen, Up-uplas",5.8,5,0.203166667,0.078652778,0.049,4.876,5.663,5.88,3
"CAR, BENGUET, Itogon, Tuding, ",6,6,0.00825,0.017736111,0.017233333,0.198,1.277,2.068,3
"CAR, BENGUET, Baguio, Pacdal",5.6,5,0.137041667,0.058916667,0.038283333,3.289,4.242,4.594,2
"REGION 1, ILOCOS NORTE, Pagudpud, 14 Ester",5.7,5,0.000166667,0.023680556,0.036825,0.004,1.705,4.419,3
"REGION 1, LA UNION, Bagulin, Tagudtud",5.7,4,0.002041667,0.012875,0.028416667,0.049,0.927,3.41,3
"REGION 1, LA UNION, San Fernando, Masicong",5.5,1,0.031416667,0.016972222,0.022575,0.754,1.222,2.709,3
"REGION 1, ILOCOS SUR, Caoayan, Calipayan-Diclap",6,6,0.239541667,0.0835,0.089433333,5.749,6.012,10.732,3
"REGION 5, ALBAY, Ligao,Paulog",5.5,1,0.008125,0.009,0.00735,0.195,0.648,0.882,2
"REGION 5, ALBAY, Guinobatan, Morera",5.5,4,0.008083333,0.008888889,0.007283333,0.194,0.64,0.874,2
"REGION 5,  ALBAY, Guinobatan, Brgy Quitago",5.1,4,0.015208333,0.019319444,0.016366667,0.365,1.391,1.964,2
"CARAGA, BUTUAN CITY, Butuan, Bitan-agan",6.8,5,0.16175,0.073013889,0.044766667,3.882,5.257,5.372,3
"CARAGA, BUTUAN CITY, Butuan, Bugsukan",7.2,5,0.16175,0.075722222,0.046658333,3.882,5.452,5.599,3
"CARAGA, BUTUAN CITY, Butuan, Sumile",7,4,0.002666667,0.055680556,0.046491667,0.064,4.009,5.579,3
"REGION 6, CAPIZ, Pilar, Olalo",6,5,0.045916667,0.021111111,0.016658333,1.102,1.52,1.999,1
"REGION 6, ILOILO, Batad, Alapasco",6,4,0.045916667,0.021111111,0.016658333,1.102,1.52,1.999,3
"REGION 6, ILOILO, Bingawan, Cubay Poblacion",5.6,3,0.045916667,0.019388889,0.01645,1.102,1.396,1.974,3
"REGION 6, ILOILO, Bingawan, Ngingian",5.6,3,0.045916667,0.019388889,0.01645,1.102,1.396,1.974,3
"REGION 6, ILOILO, Calinog, Caratagan",6.1,5,0.118083333,0.057111111,0.036891667,2.834,4.112,4.427,3
"REGION 6, ILOILO, Calinog, Canabajan",3.3,3,0.118083333,0.056430556,0.036483333,2.834,4.063,4.378,3
"REGION 6, ILOILO, Calinog, Libot",3.3,1,0.118083333,0.056430556,0.036483333,2.834,4.063,4.378,3
"REGION 6, ILOILO, Calinog, Marandig",6.1,4,0.118083333,0.057111111,0.036891667,2.834,4.112,4.427,3
"REGION 6, ILOILO, Calinog, Carvasana",3.3,3,0.118083333,0.056430556,0.036483333,2.834,4.063,4.378,3
"REGION 6, ILOILO, Calinog, Nalbugan",6.1,3,0.118083333,0.057111111,0.036891667,2.834,4.112,4.427,3
"REGION 6, NEGROS OCCIDENTAL, Bacolod, Brgy. Alijis",3.5,1,0.072041667,0.057069444,0.05415,1.729,4.109,6.498,3
"REGION 6, NEGROS OCCIDENTAL, Silay, Patag",6.3,6,0.1005,0.072166667,0.077391667,2.412,5.196,9.287,5
"REGION 6, NEGROS OCCIDENTAL, Silay, Guimbala-on",3.5,3,0.072041667,0.057069444,0.05415,1.729,4.109,6.498,3
"REGION 6, NEGROS OCCIDENTAL, San Carlos, Rizal",0.9,5,0.013125,0.022277778,0.031741667,0.315,1.604,3.809,2
"REGION 6, ANTIQUE, Laua-an, Leon",3.8,5,0.018708333,0.020833333,0.02005,0.449,1.5,2.406,3
"REGION 6, ANTIQUE, Laua-an, Paningayan",3.8,5,0.018708333,0.020833333,0.02005,0.449,1.5,2.406,3
"REGION 6, ANTIQUE, Laua-an, Pandanan",3.9,5,0.029375,0.025333333,0.023891667,0.705,1.824,2.867,3
"REGION 6, ANTIQUE, Bugasong, Pangalcagan",3.9,4,0.308375,0.113958333,0.084108333,7.401,8.205,10.093,3
"REGION 8, SOUTHERN LEYTE, Maasin, Brgy Hantag",5.9,4,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, SOUTHERN LEYTE, Maasin, Brgy Sta Cruz",5.9,4,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, SOUTHERN LEYTE, Sogod, Brgy Olisihan",5.5,6,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,2
"REGION 8, LEYTE, Baybay, Brgy. Gaas",3.8,1,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, LEYTE, Baybay, Villa Solidaridad",6.7,5,0.06725,0.113625,0.076308333,1.614,8.181,9.157,2
"REGION 8, LEYTE, Baybay, Kan-ipa",3.8,1,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, LEYTE, Baybay, Amguhan",5.9,4,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,2
"REGION 8, LEYTE, Baybay, Punta",3.8,4,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, LEYTE, Baybay, Makinhas Sitio Pamotosan",3.8,4,0.06725,0.113625,0.076308333,1.614,8.181,9.157,2
"REGION 8, LEYTE, Isabel, Monte Alegre ",6.6,5,0.132458333,0.130291667,0.096458333,3.179,9.381,11.575,2
"REGION 8, LEYTE, Isabel, Putingbato, Sitio Santol",6.6,4,0.132458333,0.130291667,0.096458333,3.179,9.381,11.575,2
"REGION 8, LEYTE, Hilongos, Brgy. Bagumbayan",5.9,4,0.096458333,0.045708333,0.0452,2.315,3.291,5.424,3
"REGION 8, LEYTE, Abuyog, Brgy Tadoc",6.7,1,0.06725,0.113625,0.076308333,1.614,8.181,9.157,3
"REGION 8, LEYTE, La Paz, Cabanez ",3.8,1,0.142625,0.115833333,0.08725,3.423,8.34,10.47,3
"REGION 8, LEYTE, Capoocan, Brgy. Cabul-an",5.6,4,0.127541667,0.061819444,0.043233333,3.061,4.451,5.188,2
"REGION 8, LEYTE, Bato, Tagaytay",6.7,4,0.06725,0.113625,0.076308333,1.614,8.181,9.157,3
"REGION 8, LEYTE, Mahaplag, Liberasyon",6.1,4,0.06725,0.113625,0.076308333,1.614,8.181,9.157,2
"REGION 8, SAMAR, Marabut, Lipata",6.6,4,0.063,0.118305556,0.1067,1.512,8.518,12.804,3
"REGION 8, SAMAR, Daram, Brgy. San Roque Road",6.1,4,0.034833333,0.043388889,0.084416667,0.836,3.124,10.13,3
"REGION 8, SAMAR, Santa Rita, Sitio Tomambog, Brgy. Salvacion",6.6,3,0.022041667,0.042444444,0.043908333,0.529,3.056,5.269,3
"REGION 8, SAMAR, Villareal, Brgy. Tayud",6.5,1,0.036833333,0.039833333,0.05655,0.884,2.868,6.786,3
"REGION 10, MISAMIS ORIENTAL, Cagayan de Oro, Bugo",5.2,6,0.054125,0.025138889,0.02525,1.299,1.81,3.03,3
"REGION 10, MISAMIS OCCIDENTAL, Calamba, Solinog",6.3,3,0.043666667,0.026208333,0.022541667,1.048,1.887,2.705,5
"REGION 11, DAVAO DE ORO, New Bataan, Brgy. Magangit",6.4,1,0.034791667,0.022041667,0.016333333,0.835,1.587,1.96,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), Brgy. Cambagang",6,5,0,0.016291667,0.010041667,0,1.173,1.205,3
"REGION 12, SULTAN KUDARAT, Esperanza, Salumping",4.6,5,0.036083333,0.033458333,0.024333333,0.866,2.409,2.92,2
"CARAGA, AGUSAN DEL SUR, Trento, Pangyan",6.4,4,0.003625,0.061472222,0.0394,0.087,4.426,4.728,3
"CARAGA, AGUSAN DEL SUR, Trento, Salvacion",6.4,3,0.003625,0.061472222,0.0394,0.087,4.426,4.728,3
"CALABARZON, QUEZON, Infanta, Barangay Magsaysay",6.3,4,0.011166667,0.016722222,0.022033333,0.268,1.204,2.644,3
"REGION VI, Negros Occidental, Toboso, Sitio Malig-on, Brgy. Bandila",4.3,4,0.006875,0.008527778,0.007216667,0.165,0.614,0.866,2
"REGION VI, Negros Occidental, Toboso, Sitio Hayangon, Brgy. Magticol",4.3,4,0.06625,0.068680556,0.057083333,1.59,4.945,6.85,5
"REGION VI, Negros Occidental, Toboso, Sitio Carbon, Brgy. San Isidro",4.3,4,0.006875,0.008527778,0.007216667,0.165,0.614,0.866,2
"REGION VI, Negros Occidental, Toboso, Nueva Strella, Brgy. Tabun-ac",4.3,5,0.006875,0.008527778,0.007216667,0.165,0.614,0.866,2
"REGION II, Cagayan, Santa Praxedes, Purok Dugdugas, Cadongdongan",4.3,6,0.016833333,0.036902778,0.023025,0.404,2.657,2.763,2
"REGION II, Cagayan, Lasam, Riverbank of Centro 2 and Magsaysay Elementary, School, Brgy. Magsaysay",7.7,1,0.041666667,0.076958333,0.047033333,1,5.541,5.644,3
"REGION II, Cagayan, Pamplona, Zone 7 Brgy. Centro and Brgy. Allasitan",4.5,1,0.104166667,0.115680556,0.070008333,2.5,8.329,8.401,3
"REGION II, Cagayan, Baggao, Asassi-Temblique Boundary Road",7.2,4,0.039375,0.053805556,0.064183333,0.945,3.874,7.702,3
"REGION II, Cagayan, Baggao, Sitio Tueg, Bitag Grande",7.5,4,0.185166667,0.0995,0.100233333,4.444,7.164,12.028,3
"REGION II, Nueva Vizcaya, Quezon, Runruno, Quezon",8,6,0.002,0.012152778,0.013291667,0.048,0.875,1.595,2
"CAR, Ifugao, Banaue, Sitio Naditu, Viewpoint, Banaue, Ifugao",7.3,6,0.0825,0.041777778,0.030825,1.98,3.008,3.699,2
"CAR, Ifugao, Lamut, Ibulao River, Sitio Bulao, and Sanafe, Lamut, Ifugao.",7.8,4,0.002,0.012152778,0.013291667,0.048,0.875,1.595,2
"CAR, Ifugao, Alfonso Lista, Calupaan Riverside, Sitio Pugo, Brgy. San Juan, Alfonso Lista, Ifugao.",6.7,1,0.131166667,0.053944444,0.037375,3.148,3.884,4.485,5
"CALABARZON, Cavite, Tagaytay City, Brgy. Iruhin East",5.1,5,0.04175,0.022319444,0.022466667,1.002,1.607,2.696,2
"CALABARZON, Laguna, Calauan, Brgy. Imok",5.8,2,0.054958333,0.029597222,0.028125,1.319,2.131,3.375,5
"CALABARZON, Laguna, Pangil, Feeder Road, Brgy. Dambo",7.7,1,0.111041667,0.051055556,0.039066667,2.665,3.676,4.688,5
"CALABARZON, Quezon, Mauban, Mauban - Tayabas Road",7.9,4,0.0525,0.044916667,0.0304,1.26,3.234,3.648,5
"CALABARZON, Quezon, Real, Brgy. Tanauan",7.7,5,0.135541667,0.061013889,0.045691667,3.253,4.393,5.483,5
"CALABARZON, Quezon, Real, Brgy. Tignoan",7.7,5,0.162208333,0.074819444,0.057675,3.893,5.387,6.921,3
"CALABARZON, Quezon, Calauag, Brgy. Sta Maria",4.6,4,0.134208333,0.068361111,0.069158333,3.221,4.922,8.299,2
"CALABARZON, Quezon, San Narciso, Brgy. Abuyon",0.1,4,0.264708333,0.115430556,0.097983333,6.353,8.311,11.758,2
"CALABARZON, Quezon, Guinayangan, Brgy. Manggagawa / Calimpak",7.3,5,0.233166667,0.104222222,0.091466667,5.596,7.504,10.976,2
"CALABARZON, Quezon, Catanauan, Brgy. Maligaya",4.4,4,0.079083333,0.049444444,0.05965,1.898,3.56,7.158,2
"CALABARZON, Quezon, Gumaca, Brgy. Villa Bota",3.6,5,0.077041667,0.048152778,0.057683333,1.849,3.467,6.922,5
"CALABARZON, Quezon, Lopez, Brgy. Samat",4.4,1,0.142166667,0.071041667,0.070383333,3.412,5.115,8.446,5
"CALABARZON, Quezon, Quezon, Brgy. Poblacion V",4.5,4,0.024208333,0.036722222,0.042791667,0.581,2.644,5.135,2
"MIMAROPA, Romblon, Calatrava, Brgy. Pangulo",0,5,0,0,0,0,0,0,3
"MIMAROPA, Oriental Mindoro, Bulalacao, Brgy. Dangkalan",0,,0,0,0,0,0,0,
"REGION V, Camarines Norte, Paracale, Brgy Tugos",0,,0,0,0,0,0,0,
"REGION V, Camarines Norte, Labo, Bagacay, Canapawan, Tigbinan, and Kalabasa Bridge",0,,0,0,0,0,0,0,
"CALABARZON, Quezon, Calauag, Brgy. Sta. Maria",0,,0,0,0,0,0,0,
"CALABARZON, Laguna, Majayjay, Brgy. Bakia ",0,,0,0,0,0,0,0,
"CALABARZON, Laguna, Luisiana, Sitio Dapi, Brgy. San Antonio ",0,,0,0,0,0,0,0,
"CALABARZON, Cavite, Carmona, Brgy. Cabilang Baybay ",0,,0,0,0,0,0,0,
"CALABARZON, Cavite, Amadeo, Brgy. 6 ",0,,0,0,0,0,0,0,
"CALABARZON, Quezon , Padre Burgos, Brgy. Rizal ",0,,0,0,0,0,0,0,
"REGION II, CAGAYAN, Sta. Ana, Brgy. Patunungan ",0,,0,0,0,0,0,0,
"REGION II, NEUVA VIZCAYA, Kasibu, Brgy. Papaya-Poblacion",0,,0,0,0,0,0,0,
"REGION II, NEUVA VIZCAYA, Kayapa, Brgy.Poblacion",0,,0,0,0,0,0,0,
"CAR, BENGUET, Mankayan, Brgy. Bedbed",0,,0,0,0,0,0,0,
"CAR, IFUGAO, Hungduan, Sitio Lakdagen, Poblacion",0,,0,0,0,0,0,0,
"CAR, BENGUET, La Trinidad, KM 3 Pico",0,,0,0,0,0,0,0,
"CAR, KALINGA, Pasil, Daldalacan Malucsad",0,,0,0,0,0,0,0,
"CAR, Mt. Province, Sadanga,Igil betwagan",0,,0,0,0,0,0,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"REGION 7, NEGROS ORIENTAL, Santa Catalina, Manalongon, San Francisco, and Nagbalaye",0,,0,0,0,0,0,0,
